T1,T2,T3,T4,T5,T6,T7,T8,W1,Target
0.011592595,0.029102638,0.007661677,0.44947204,0.012212741,0.4819854,0.0059991605,0.001973745,459,1
0.011845183,0.15608056,0.048334368,0.7120774,0.03958665,0.025123553,0.005243557,0.0017087383,583,1
0.019812727,0.33774114,0.012855365,0.42549515,0.015977044,0.03621646,0.0760696,0.07583249,424,1
0.01841873,0.08748569,0.011329713,0.8142912,0.017732108,0.038456433,0.009246929,0.0030392148,332,1
0.01838224,0.043339375,0.012415759,0.39818364,0.018760426,0.49624366,0.009540561,0.0031343037,337,1
0.028285723,0.19044167,0.0066248644,0.69498605,0.0112926075,0.061759517,0.004984084,0.0016254762,686,1
0.010213724,0.15423033,0.08693552,0.17280895,0.011153366,0.557729,0.0052215317,0.001707551,737,0
0.015667913,0.10335439,0.008586179,0.5904323,0.22651468,0.046212256,0.0069466988,0.0022855883,409,1
0.019781902,0.052705843,0.011446241,0.5562391,0.2818358,0.065715335,0.0092364345,0.0030392464,403,1
0.01665334,0.1389454,0.06951611,0.2366064,0.020028537,0.5075712,0.0080360165,0.0026429608,354,1
0.0115297055,0.03369787,0.0075260885,0.8871109,0.011981836,0.04017824,0.006001561,0.0019738222,529,1
0.01718504,0.073205866,0.051330026,0.76792604,0.01675864,0.062010225,0.008716705,0.0028674616,309,1
0.027694046,0.05405733,0.016597597,0.57127094,0.032476176,0.27996397,0.013595632,0.004344247,205,1
0.007832811,0.49844638,0.0046568126,0.28852764,0.008430924,0.18706697,0.0037932945,0.0012451401,979,1
0.016438426,0.038876392,0.010405831,0.30467469,0.016355814,0.6009552,0.009504238,0.0027894275,356,1
0.030345298,0.07238859,0.019553721,0.49565777,0.030603651,0.3296427,0.016562747,0.00524552,185,1
0.023173107,0.047847316,0.01492611,0.7037627,0.023363011,0.091880165,0.09104404,0.004003555,193,1
0.42409793,0.07478646,0.006866762,0.44208175,0.010687539,0.034725673,0.0051547317,0.0015991947,675,1
0.018413559,0.03876112,0.0113894595,0.86503965,0.017758217,0.03634677,0.00924858,0.0030426683,346,1
0.01834376,0.23100269,0.013429974,0.53876096,0.018722573,0.04177489,0.13492586,0.00303931,264,1
0.012020426,0.6303305,0.007699913,0.29481196,0.0120874,0.033549532,0.0074877664,0.002012484,447,1
0.031566236,0.44065973,0.016944958,0.40147942,0.027317755,0.06367006,0.013817063,0.004544732,171,1
0.011314402,0.036807008,0.008270934,0.31181192,0.5466932,0.07829374,0.0051300507,0.0016787186,667,1
0.0858756,0.1155615,0.018589446,0.5844747,0.029641155,0.14566767,0.015203123,0.004986775,132,1
0.02903345,0.3553478,0.015790926,0.44811305,0.024631048,0.11018676,0.012725795,0.0041711475,208,1
0.03294729,0.10988967,0.36749512,0.34990624,0.04815236,0.082993776,0.006519087,0.002096504,597,1
0.027486589,0.059452627,0.01804872,0.62357295,0.028204303,0.05450036,0.183982,0.0047524427,186,1
0.010186567,0.049469866,0.0062805307,0.38241184,0.019871637,0.5249888,0.005112216,0.0016785695,634,1
0.019451484,0.04523624,0.012464123,0.81856865,0.019732365,0.071054906,0.010151788,0.0033404226,199,1
0.23804232,0.05761703,0.016251951,0.4959659,0.027499536,0.10409176,0.05618502,0.0043464312,253,1
0.022588423,0.048421998,0.0919679,0.46708074,0.06145973,0.29291692,0.011711369,0.0038528745,238,1
0.018665016,0.059121113,0.067369714,0.41101924,0.017152913,0.06669659,0.357464,0.0025114552,504,1
0.025426932,0.46551713,0.092678346,0.31672475,0.0134284515,0.07854564,0.005780142,0.0018986674,559,1
0.023140142,0.04907715,0.015442654,0.7389594,0.023343975,0.13384293,0.012192719,0.0040010465,188,1
0.018247724,0.24372432,0.012260894,0.5747371,0.022376083,0.11599006,0.009530478,0.0031333757,239,1
0.030812394,0.13180222,0.020380367,0.35985884,0.36194023,0.073951945,0.016008575,0.0052453973,174,1
0.019620813,0.039190296,0.012452842,0.78497106,0.023879308,0.106392995,0.010152148,0.0033405232,234,1
0.020889819,0.26245943,0.013346564,0.5233329,0.020957101,0.1445439,0.0108905425,0.0035797406,271,1
0.009336237,0.30333555,0.0055759256,0.37232116,0.009429344,0.022399183,0.26109862,0.016503934,753,1
0.014587134,0.059498947,0.008632781,0.63559043,0.03796788,0.05741799,0.18407007,0.0022347814,415,1
0.027064428,0.1792936,0.013825413,0.623599,0.02183181,0.119403176,0.011275109,0.0037074648,213,1
0.02586238,0.04844662,0.014484891,0.4317342,0.02372199,0.06364297,0.3882585,0.0038484647,230,1
0.018446747,0.040602375,0.011719906,0.8626955,0.018282091,0.03559266,0.009527264,0.0031334867,313,1
0.04637693,0.032459013,0.009608732,0.27386212,0.58707637,0.040064696,0.007976634,0.0025754913,366,1
0.0293879,0.05898971,0.21571958,0.5295291,0.082834505,0.063396074,0.015156072,0.004987076,205,1
0.023139857,0.052150298,0.0150312325,0.8186075,0.024690112,0.050215214,0.012165102,0.0040006284,207,1
0.2321989,0.053613167,0.025897462,0.6430971,0.011816933,0.025975121,0.0055701616,0.0018311898,548,1
0.024572764,0.20695074,0.01966584,0.6454655,0.024682285,0.06178523,0.012708648,0.004169005,164,1
0.08064585,0.18680602,0.020116122,0.5806052,0.06693332,0.047767922,0.012960064,0.0041655144,190,1
0.023247419,0.054140188,0.014869606,0.8204333,0.022472652,0.04927953,0.011706286,0.0038510428,230,1
0.05904176,0.077586584,0.010169491,0.740217,0.06909694,0.032808688,0.008364946,0.002714563,394,1
